name,listeners,mbid,country
The xx,2090127,c5c2ea1c-4bde-4f4d-bd0b-47b200bf99d6,AFGHANISTAN
The Beatles,4082721,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,AFGHANISTAN
Radiohead,5094619,a74b1b7f-71a5-4011-9441-d0b5e4122711,AFGHANISTAN
Lana Del Rey,2352583,b7539c32-53e7-4908-bda3-81449c367da6,AFGHANISTAN
Pink Floyd,3399905,83d91898-7763-47d7-b03b-b92132375c47,AFGHANISTAN
Metallica,3136320,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,AFGHANISTAN
Drake,3885393,b49b81cc-d5b7-4bdd-aadb-385df8de69a6,AFGHANISTAN
Nirvana,4644911,9282c8b4-ca0b-4c6b-b7e3-4f7762dfc4d6,AFGHANISTAN
Katy Perry,4189325,122d63fc-8671-43e4-9752-34e846d62a9c,AFGHANISTAN
Kendrick Lamar,1942574,381086ea-f511-4aba-bdf9-71c753dc5077,AFGHANISTAN
Led Zeppelin,3211912,d6e0e274-8e19-44ce-b5b2-52c12f8a674a,AFGHANISTAN
blink-182,3238497,0743b15a-3c32-48c8-ad58-cb325350befa,AFGHANISTAN
Depeche Mode,2893193,8538e728-ca0b-4321-b7e5-cff6565dd4c0,AFGHANISTAN
The Rolling Stones,4098667,b071f9fa-14b0-4217-8e97-eb41da73f598,AFGHANISTAN
Oasis,3865034,ecf9f3a3-35e9-4c58-acaa-e707fba45060,AFGHANISTAN
Michael Jackson,3919312,f27ec8db-af05-4f36-916e-3d57f91ecf5e,AFGHANISTAN
Massive Attack,2711633,10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,AFGHANISTAN
Deftones,1891687,7527f6c2-d762-4b88-b5e2-9244f1e34c46,AFGHANISTAN
Sia,2480882,2f548675-008d-4332-876c-108b0c7ab9c5,AFGHANISTAN
Fleetwood Mac,2545219,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,AFGHANISTAN
Disturbed,2518874,dc75517c-d268-486d-bd5b-0eaff34eeef9,AFGHANISTAN
Johnny Cash,2997649,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,AFGHANISTAN
Calvin Harris,2598580,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,AFGHANISTAN
Boards of Canada,1425558,69158f97-4c07-4c4e-baf8-4e4ab1ed666e,AFGHANISTAN
Beck,3112257,a8baaa41-50f1-4f63-979e-717c14979dfb,AFGHANISTAN
Incubus,2705354,e3e0abcd-7671-4482-a9d8-462f5acc9be5,AFGHANISTAN
alt-J,1323394,fc7bbf00-fbaa-4736-986b-b3ac0266ca9b,AFGHANISTAN
M83,2149263,6d7b7cd4-254b-4c25-83f6-dd20f98ceacd,AFGHANISTAN
Moby,2788488,8970d868-0723-483b-a75b-51088913d3d4,AFGHANISTAN
Bruce Springsteen,2371199,70248960-cb53-4ea4-943a-edb18f7d336f,AFGHANISTAN
Bonobo,1584276,9a709693-b4f8-4da9-8cc1-038c911a61be,AFGHANISTAN
Hans Zimmer,1597575,e6de1f3b-6484-491c-88dd-6d619f142abc,AFGHANISTAN
Foals,1607744,6a65d878-fcd0-42cf-aff9-ca1d636a8bcc,AFGHANISTAN
Justin Timberlake,3129032,596ffa74-3d08-44ef-b113-765d43d12738,AFGHANISTAN
Shakira,2648058,bf24ca37-25f4-4e34-9aec-460b94364cfc,AFGHANISTAN
Elvis Presley,2659267,01809552-4f87-45b0-afff-2c6f0730a3be,AFGHANISTAN
Air,2259435,ef3f5cea-b32e-4325-b8d4-96ae70a9fc2e,AFGHANISTAN
Frank Sinatra,2675492,197450cd-0124-4164-b723-3c22dd16494d,AFGHANISTAN
Jimi Hendrix,2949080,06fb1c8b-566e-4cb2-985b-b467c90781d4,AFGHANISTAN
Röyksopp,2087097,1c70a3fc-fa3c-4be1-8b55-c3192db8a884,AFGHANISTAN
Shawn Mendes,1005235,b7d92248-97e3-4450-8057-6fe06738f735,AFGHANISTAN
Simon & Garfunkel,2562726,5d02f264-e225-41ff-83f7-d9b1f0b1874a,AFGHANISTAN
Creedence Clearwater Revival,2587129,44c48a1b-defd-4222-bee6-03f9ee9a7be9,AFGHANISTAN
Iron & Wine,2186756,c3f28da8-662d-4f09-bdc7-3084bf685930,AFGHANISTAN
The Chemical Brothers,2366636,1946a82a-f927-40c2-8235-38d64f50d043,AFGHANISTAN
Camila Cabello,691529,,AFGHANISTAN
Explosions in the Sky,1243260,4236acde-2ce2-441c-a3d4-38d55f1b5474,AFGHANISTAN
Hozier,1217049,b4691384-50c3-4afd-9988-51d3ec5db65d,AFGHANISTAN
Stevie Wonder,2431389,c1aa2ec9-53e7-4d90-8d36-bac75832e986,AFGHANISTAN
Eric Clapton,2580348,618b6900-0618-4f1e-b835-bccb17f84294,AFGHANISTAN
Coldplay,5816762,cc197bad-dc9c-440d-a5b5-d52ba2e14234,ÅLAND ISLANDS
The Weeknd,1958448,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,ÅLAND ISLANDS
Ed Sheeran,2070030,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,ÅLAND ISLANDS
Sia,2480882,2f548675-008d-4332-876c-108b0c7ab9c5,ÅLAND ISLANDS
Calvin Harris,2598580,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,ÅLAND ISLANDS
Kent,480939,ffb2d3e3-a4cc-48cf-8fb0-f2f846e9d7b9,ÅLAND ISLANDS
David Bowie,3683673,5441c29d-3602-4898-b1a1-b77fa23b8e50,ÅLAND ISLANDS
Queen,4464352,420ca290-76c5-41af-999e-564d7c71f1a7,ÅLAND ISLANDS
Avicii,1839587,c85cfd6b-b1e9-4a50-bd55-eb725f04f7d5,ÅLAND ISLANDS
Creedence Clearwater Revival,2587129,44c48a1b-defd-4222-bee6-03f9ee9a7be9,ÅLAND ISLANDS
Kygo,986861,ba0e7638-0cd6-4ff4-8987-c3e224d22c23,ÅLAND ISLANDS
The Beatles,4082721,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,ÅLAND ISLANDS
Lana Del Rey,2352583,b7539c32-53e7-4908-bda3-81449c367da6,ÅLAND ISLANDS
Ariana Grande,1681258,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,ÅLAND ISLANDS
Eminem,4966239,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,ÅLAND ISLANDS
AC/DC,2961455,66c662b6-6e2f-4930-8610-912e24c63ed1,ÅLAND ISLANDS
Fleetwood Mac,2545219,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,ÅLAND ISLANDS
Johnny Cash,2997649,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,ÅLAND ISLANDS
David Guetta,3130165,302bd7b9-d012-4360-897a-93b00c855680,ÅLAND ISLANDS
Bruce Springsteen,2371199,70248960-cb53-4ea4-943a-edb18f7d336f,ÅLAND ISLANDS
Stevie Wonder,2431389,c1aa2ec9-53e7-4d90-8d36-bac75832e986,ÅLAND ISLANDS
Major Lazer,1525978,75be165a-ad83-4d12-bd28-f589a15c479f,ÅLAND ISLANDS
Rihanna,5057256,db36a76f-4cdf-43ac-8cd0-5e48092d2bae,ÅLAND ISLANDS
Daft Punk,4139459,056e4f3e-d505-4dad-8ec1-d04f521cbb56,ÅLAND ISLANDS
System of a Down,3719183,cc0b7089-c08d-4c10-b6b0-873582c17fd6,ÅLAND ISLANDS
Bob Dylan,2882193,72c536dc-7137-4477-a521-567eeb840fa8,ÅLAND ISLANDS
Adele,3192628,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,ÅLAND ISLANDS
Miley Cyrus,2513454,7e9bd05a-117f-4cce-87bc-e011527a8b18,ÅLAND ISLANDS
Ellie Goulding,2242008,33ca19f4-18c8-4411-98df-ac23890ce9f5,ÅLAND ISLANDS
Elvis Presley,2659267,01809552-4f87-45b0-afff-2c6f0730a3be,ÅLAND ISLANDS
Dire Straits,2326806,614e3804-7d34-41ba-857f-811bad7c2b7a,ÅLAND ISLANDS
Marvin Gaye,2163192,afdb7919-059d-43c1-b668-ba1d265e7e42,ÅLAND ISLANDS
Zara Larsson,736048,134e6410-6954-45d1-bd4a-0f2d2ad5471d,ÅLAND ISLANDS
Lady Gaga,4327634,650e7db6-b795-4eb5-a702-5ea2fc46c848,ÅLAND ISLANDS
Red Hot Chili Peppers,4935007,8bfac288-ccc5-448d-9573-c33ea2aa5c30,ÅLAND ISLANDS
Metallica,3136320,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,ÅLAND ISLANDS
Drake,3885393,b49b81cc-d5b7-4bdd-aadb-385df8de69a6,ÅLAND ISLANDS
The Rolling Stones,4098667,b071f9fa-14b0-4217-8e97-eb41da73f598,ÅLAND ISLANDS
Frank Sinatra,2675492,197450cd-0124-4164-b723-3c22dd16494d,ÅLAND ISLANDS
Jimi Hendrix,2949080,06fb1c8b-566e-4cb2-985b-b467c90781d4,ÅLAND ISLANDS
Simon & Garfunkel,2562726,5d02f264-e225-41ff-83f7-d9b1f0b1874a,ÅLAND ISLANDS
ABBA,1983613,d87e52c5-bb8d-4da8-b941-9f4928627dc8,ÅLAND ISLANDS
Sam Smith,1317535,5a85c140-dcf9-4dd2-b2c8-aff0471549f3,ÅLAND ISLANDS
Phil Collins,2031340,401c3991-b76b-499d-8082-9f2df958ef78,ÅLAND ISLANDS
