,name_genre,name,stats.listeners,stats.playcount,streamable
0,seen live,The xx,2090416,150725339,0
0,pop,The Beatles,4083670,582082979,0
0,electronic,Radiohead,5095496,559907557,0
0,alternative,Lana Del Rey,2353626,318330247,0
0,psychedelic,Pink Floyd,3400694,350538325,0
0,rock,Metallica,3136813,306669683,0
0,Canadian,Drake,3886587,207785000,0
0,90s,Nirvana,4645837,251533598,0
0,rock,Katy Perry,4190370,192953279,0
0,compton,Kendrick Lamar,1943766,156516865,0
0,Progressive rock,Led Zeppelin,3212520,208005313,0
0,alternative,blink-182,3239023,196370501,0
0,synth pop,Depeche Mode,2893644,181232798,0
0,blues,The Rolling Stones,4099331,172775399,0
0,indie,Oasis,3865671,166175951,0
0,funk,Michael Jackson,3921107,148202645,0
0,electronica,Massive Attack,2711860,126072447,0
0,rock,Deftones,1892101,115681130,0
0,downtempo,Sia,2481548,96249933,0
0,pop,Fleetwood Mac,2546116,91408813,0
0,alternative,Disturbed,2519113,115276522,0
0,rock,Johnny Cash,2998034,113467233,0
0,seen live,Calvin Harris,2599544,88037504,0
0,chillout,Boards of Canada,1425784,105496146,0
0,indie rock,Beck,3112623,110285991,0
0,indie,Incubus,2705579,116153297,0
0,alternative,alt-J,1323897,78091022,0
0,electronica,M83,2149766,91762674,0
0,electronica,Moby,2788778,100416106,0
0,folk,Bruce Springsteen,2371526,89847584,0
0,ninja tune,Bonobo,1584425,87880937,0
0,Soundtracks,Hans Zimmer,1597883,82413172,0
0,seen live,Foals,1607985,78897294,0
0,Hip-Hop,Justin Timberlake,3129714,81991004,0
0,rock,Shakira,2648901,79887534,0
0,Rock and Roll,Elvis Presley,2659713,79880647,0
0,electronica,Air,2259626,93159840,0
0,easy listening,Frank Sinatra,2676019,77185937,0
0,guitar,Jimi Hendrix,2949569,81885175,0
0,norwegian,Röyksopp,2087215,77754484,0
0,male vocalists,Shawn Mendes,1006014,48331660,0
0,rock,Simon & Garfunkel,2563162,70600685,0
0,folk,Creedence Clearwater Revival,2587585,67217201,0
0,indie rock,Iron & Wine,2186963,75970694,0
0,techno,The Chemical Brothers,2366876,65063242,0
0,dance,Camila Cabello,692063,40413164,0
0,post rock,Explosions in the Sky,1243315,61205243,0
0,irish,Hozier,1217808,38921726,0
0,rnb,Stevie Wonder,2431924,49865410,0
0,guitar,Eric Clapton,2580664,55952643,0
0,indie,Coldplay,5817856,391846783,0
0,prog-rnb,The Weeknd,1960052,173207714,0
0,pop,Ed Sheeran,2071792,112935449,0
0,alternative,Kent,480958,40263905,0
0,alternative,David Bowie,3685130,224123351,0
0,glam rock,Queen,4465544,224773957,0
0,electro house,Avicii,1840254,56221092,0
0,tropical house,Kygo,987350,27561350,0
0,nickelodeon,Ariana Grande,1682572,241808321,0
0,pop,Eminem,4967265,241450294,0
0,metal,AC/DC,2962046,148320744,0
0,techno,David Guetta,3131043,100003321,0
0,dub,Major Lazer,1526588,39938663,0
0,Hip-Hop,Rihanna,5058525,234853933,0
0,techno,Daft Punk,4140237,233621983,0
0,alternative,System of a Down,3719654,246423694,0
0,rock,Bob Dylan,2882578,171366358,0
0,indie,Adele,3193349,142142439,0
0,better than selena gomez,Miley Cyrus,2514457,110255119,0
0,indie pop,Ellie Goulding,2242567,94167011,0
0,guitar,Dire Straits,2327189,63070282,0
0,rnb,Marvin Gaye,2163695,38794066,0
0,Sweden,Zara Larsson,736475,19737718,0
0,female vocalist,Lady Gaga,4328703,379801138,0
0,funk,Red Hot Chili Peppers,4935804,321092352,0
0,80s,ABBA,1984505,56201624,0
0,dance,Sam Smith,1318145,44904444,0
0,soft rock,Phil Collins,2031738,35700745,0
0,norwegian,Alan Walker,638361,14186928,0
0,metal,Linkin Park,4293524,325678128,0
0,rock,Rammstein,1956720,188928278,0
0,hard rock,Iron Maiden,2243487,181002685,0
0,alternative,Arctic Monkeys,3937961,385499181,0
0,indie,Gorillaz,3981159,205758031,0
0,Kanye West,Kanye West,4898903,356264908,0
